,clust,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Referred a Friend_No,Referred a Friend_Yes,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
10,0,0.0,0.14084507042253522,0.23184636927385477,0.3411764705882353,0.763681592039801,0.1271059312254789,0.0,0.8,0.035764379811037056,0.12159481264823382,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,1,0.0,0.19718309859154928,0.5823164632926585,0.3411764705882353,0.5587064676616916,0.12179783060235402,0.0,0.0,0.12249208914024103,0.1345234560821451,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,1,0.09090909090909091,0.0,0.0,0.1411764705882353,0.218407960199005,0.0024694207246711286,0.0,0.0,0.0,0.0017014224804057585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,2,0.0,0.028169014084507043,0.0,0.32941176470588235,0.22786069651741292,0.013085621970920839,0.0,0.0,0.0,0.01000985497495617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,0,0.0,0.16901408450704225,0.6537307461492298,0.12941176470588237,0.882089552238806,0.15526194322640202,0.0,0.06666666666666667,0.11917906595749456,0.16054962087132427,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,2,0.0,0.2112676056338028,0.1886377275455091,0.10588235294117647,0.7582089552238807,0.17221324717285946,0.0,0.0,0.04232590497991427,0.14817186263542123,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,1,0.0,0.09859154929577464,0.035607121424284856,0.08235294117647059,0.5597014925373134,0.06782252480960074,0.0,0.0,0.0039947036513386745,0.05413395315443862,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17,0,0.0,0.323943661971831,0.6175235047009402,0.17647058823529413,0.5756218905472636,0.19546503577198246,0.0,0.0,0.20783680064633409,0.2196514748032109,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,0,0.0,0.04225352112676056,0.6323264652930586,0.023529411764705882,0.7681592039800995,0.04353796445880453,0.0,0.0,0.03546982652213919,0.045261089104551906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,1,0.18181818181818182,0.43661971830985913,0.9469893978795759,0.11764705882352941,0.5636815920398011,0.26362220170782363,0.0,0.0,0.4249646536053323,0.3428917183215611,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20,2,0.09090909090909091,0.323943661971831,0.32206441288257653,0.1411764705882353,0.7452736318407961,0.2552792522501731,0.0,0.0,0.1083956103144146,0.23445041863888452,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,0,0.0,0.7464788732394366,0.24164832966593316,0.058823529411764705,0.6388059701492538,0.499803831063928,0.0,0.0,0.18299333467986267,0.44983479088375306,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
22,0,0.0,0.014084507042253521,0.2634526905381076,0.11764705882352941,0.5184079601990049,0.013876067389799218,0.0,0.0,0.007389079647209318,0.013007212306414084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,1,0.0,0.28169014084507044,0.0,0.09411764705882353,0.2353233830845771,0.0947726748211401,0.0,0.0,0.0,0.07393963065856744,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24,1,0.0,0.36619718309859156,0.0,0.15294117647058825,0.12437810945273632,0.09073390260789292,0.0,0.9333333333333333,0.0,0.08342208078821736,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,1,0.09090909090909091,0.14084507042253522,0.5909181836367273,0.0,0.016915422885572132,0.022611354719593815,0.0,0.0,0.0911544244709262,0.046809889292394734,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,0,0.18181818181818182,0.7605633802816901,0.8565713142628525,0.3176470588235294,0.6686567164179105,0.5603392568659127,0.0,0.6,0.6606690006508226,0.6591151745165925,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27,0,0.0,0.028169014084507043,0.1844368873774755,0.16470588235294117,0.6278606965174128,0.024798061389337638,0.0,0.0,0.007759375210395207,0.021674171724914117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28,1,0.0,0.0,0.7019403880776156,0.2,0.5676616915422885,0.006519732287099007,0.0,0.13333333333333333,0.009843690388024868,0.009846395596530775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
29,1,0.0,0.056338028169014086,0.0,0.3058823529411765,0.10149253731343283,0.01295291945534272,0.0,0.0,0.0,0.009905999568774292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,0,0.0,0.2676056338028169,0.9747949589917982,0.1411764705882353,0.7547263681592039,0.2035079621509347,0.0,0.5333333333333333,0.2734015574855809,0.2542777703147383,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31,0,0.36363636363636365,0.056338028169014086,0.915383076615323,0.25882352941176473,0.5582089552238806,0.036464343411031615,0.0,0.0,0.064184564285554,0.0489691786504893,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32,1,0.18181818181818182,0.36619718309859156,0.14042808561712342,0.29411764705882354,0.5666666666666667,0.22046503577198245,0.0,0.0,0.05317107655019188,0.18942593924232962,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
33,1,0.0,0.04225352112676056,0.9671934386877376,0.2823529411764706,0.7059701492537314,0.03777982921763212,0.0,0.0,0.0542539105455688,0.04680176147799789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
34,0,0.0,0.0,0.916383276655331,0.24705882352941178,0.6711442786069652,0.0077198246018924535,0.0,0.0,0.012850939204201172,0.009947541731247041,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
35,0,0.2727272727272727,0.9014084507042254,0.367873574714943,0.32941176470588235,0.8656716417910447,0.7809369951534733,0.0,0.0,0.33532787988958457,0.7188952494053713,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,0,0.2727272727272727,0.676056338028169,0.45849169833966796,0.16470588235294117,0.7144278606965174,0.5225536579736902,0.0,0.0,0.3150541978051572,0.5101531077037005,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37,0,0.09090909090909091,0.5915492957746479,0.29045809161832364,0.058823529411764705,0.9203980099502488,0.5387837525963535,0.0,0.0,0.1751498013869252,0.47781614658061716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
38,0,0.0,0.7746478873239436,0.9761952390478095,0.1411764705882353,0.8587064676616916,0.6664954996538195,0.0,0.0,0.7666240265715121,0.7681768973648948,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
39,0,0.6363636363636364,0.2676056338028169,0.10622124424884975,0.11764705882352941,0.7592039800995024,0.21703784906531273,0.0,0.0,0.029791961219955566,0.17921740435989508,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,0,0.0,0.014084507042253521,0.9495899179835967,0.2235294117647059,0.7089552238805971,0.01646665128086776,0.0,0.0,0.026633227855203216,0.02122985120455338,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,1,0.0,0.09859154929577464,0.5591118223644729,0.0,0.013930348258706454,0.016789753057927532,0.0,0.0,0.06272582418815503,0.033101878766875086,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,2,0.0,0.7183098591549296,0.0,0.21176470588235294,0.3074626865671642,0.2921878606046619,0.0,0.2,0.0,0.23114962290327784,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
43,1,0.0,0.014084507042253521,0.8799759951990398,0.3176470588235294,0.30845771144278605,0.008342949457650588,0.0,0.0,0.02468076034022308,0.01424354318522273,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44,0,0.09090909090909091,0.4507042253521127,0.5557111422284456,0.09411764705882353,0.7587064676616916,0.3561908608354489,0.0,0.0,0.2571702686325995,0.36132018283066936,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45,1,0.0,0.4084507042253521,0.9177835567113423,0.2235294117647059,0.7308457711442786,0.3161031617816755,0.0,0.0,0.38611728270383094,0.371458276654998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,0,0.0,0.2676056338028169,0.8889777955591117,0.15294117647058825,0.7990049751243781,0.21047772905608123,0.0,0.8,0.24933234587849817,0.25559628242800386,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47,0,0.0,0.6338028169014085,0.04740948189637927,0.23529411764705882,0.9129353233830846,0.5603507962150934,0.0,0.0,0.03058304719585269,0.44815504257507216,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
48,0,0.09090909090909091,0.08450704225352113,0.4382876575315063,0.12941176470588237,0.7696517412935323,0.07218439879990769,0.0,0.0,0.043024417065014926,0.07011233316814303,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,0,0.0,0.04225352112676056,0.73874774954991,0.21176470588235294,0.6029850746268656,0.03161781675513501,0.0,0.0,0.0414394398438026,0.03785394091756251,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50,0,0.0,0.7605633802816901,0.747749549909982,0.08235294117647059,0.8134328358208955,0.6335679667666744,0.0,0.6666666666666666,0.5767353396620212,0.6903079199906981,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
51,1,0.09090909090909091,0.2676056338028169,0.10742148429685937,0.2823529411764706,0.5512437810945274,0.1667089776136626,0.0,0.0,0.030128593550124556,0.13993748356093094,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
